NO,Bulan,IHPB,Pertanian,PertambanganDANPenggalian,Industri,Impor,Ekspor
1,Jan-00,94.40,98.13,97.32,97.82,91.09,89.23
2,Feb-00,94.94,97.26,97.38,97.64,91.86,91.48
3,Mar-00,95.16,95.75,98.10,97.39,93.30,92.49
4,Apr-00,96.11,97.19,99.78,98.18,93.05,94.15
5,May-00,98.46,98.74,99.95,98.75,97.10,98.66
6,Jun-00,100.15,99.95,99.43,99.13,100.38,101.66
7,Jul-00,102.69,101.34,99.64,99.84,103.93,107.10
8,Aug-00,100.63,101.28,99.80,100.69,102.49,99.07
9,Sep-00,102.16,100.50,100.43,100.87,104.51,103.58
10,Oct-00,103.76,101.43,101.30,102.41,106.01,105.74
11,Nov-00,105.80,102.84,103.29,103.28,108.12,109.82
12,Dec-00,105.74,105.58,103.61,104.00,108.17,107.01
13,Jan-01,106.19,106.86,105.42,104.59,108.65,106.68
14,Feb-01,106.91,108.37,105.53,105.11,109.24,107.42
15,Mar-01,109.32,110.17,105.82,105.97,111.89,112.45
16,Apr-01,112.90,112.34,106.65,108.92,116.31,117.41
17,May-01,114.68,114.02,106.97,110.01,118.52,120.12
18,Jun-01,116.44,116.48,107.49,112.93,119.48,120.38
19,Jul-01,116.06,118.57,109.04,114.65,118.16,116.03
20,Aug-01,112.01,117.45,109.99,115.49,111.49,104.45
21,Sep-01,112.64,117.55,110.41,114.56,112.59,107.41
22,Oct-01,114.00,117.61,110.63,115.16,114.26,110.46
23,Nov-01,115.99,120.87,110.93,116.00,116.59,113.40
24,Dec-01,115.27,122.76,110.91,116.93,113.20,110.53
25,Jan-02,116.83,123.29,118.54,120.08,113.68,110.45
26,Feb-02,116.79,125.49,119.14,120.46,112.38,109.36
27,Mar-02,116.03,124.55,119.41,121.82,110.13,106.43
28,Apr-02,115.54,123.34,120.58,121.75,109.44,105.69
29,May-02,118.26,123.38,121.12,124.03,113.01,110.11
30,Jun-02,115.96,123.85,121.58,124.29,108.35,103.86
31,Jul-02,117.23,124.08,121.89,124.51,110.92,106.48
32,Aug-02,117.28,123.99,122.40,124.60,110.86,106.58
33,Sep-02,118.23,125.19,122.99,124.90,112.56,107.88
34,Oct-02,119.85,126.43,123.26,126.06,113.52,110.93
35,Nov-02,120.41,129.81,123.33,127.72,112.15,109.67
36,Dec-02,121.03,130.97,123.69,128.00,113.80,109.85
37,Jan-03,122.80,131.94,124.89,129.51,115.74,112.34
38,Feb-03,123.45,131.16,124.33,129.97,117.88,113.18
39,Mar-03,123.15,129.31,124.53,130.07,117.60,113.06
40,Apr-03,121.41,129.04,124.58,130.35,112.52,109.55
41,May-03,119.52,129.42,124.94,130.18,110.64,103.71
42,Jun-03,119.31,128.87,125.27,130.10,110.50,103.40
43,Jul-03,120.55,128.49,126.09,129.92,113.76,106.32
44,Aug-03,120.52,128.89,121.06,130.02,114.08,106.06
45,Sep-03,120.84,129.67,121.08,130.26,113.05,107.18
46,Oct-03,121.74,130.64,121.15,130.57,114.85,108.39
47,Nov-03,122.35,131.70,121.37,131.37,114.91,108.88
48,Dec-03,123.22,132.97,122.01,131.69,116.45,109.93
49,Jan-04,124.52,134.39,127.31,132.04,117.71,112.28
50,Feb-04,124.83,134.85,127.68,132.33,117.37,112.94
51,Mar-04,126.11,134.64,133.93,133.25,120.06,114.23
52,Apr-04,127.76,137.40,134.02,135.60,122.48,113.87
53,May-04,130.61,138.43,135.93,135.91,128.12,119.74
54,Jun-04,131.62,138.95,136.01,136.37,128.07,122.59
55,Jul-04,131.26,138.77,135.70,136.45,127.85,121.38
56,Aug-04,132.62,138.15,135.90,136.71,130.95,124.39
57,Sep-04,133.99,137.16,136.48,137.19,132.44,128.33
58,Oct-04,135.11,137.81,137.11,137.35,135.63,129.83
59,Nov-04,134.60,138.56,137.22,137.54,133.34,128.72
60,Dec-04,134.23,139.69,137.87,137.91,132.89,126.43
61,Jan-05,138.15,145.60,139.50,141.86,134.99,130.59
62,Feb-05,139.72,144.35,139.94,142.72,138.60,133.50
63,Mar-05,145.21,144.65,141.60,149.06,145.29,140.02
64,Apr-05,147.48,144.21,142.32,149.93,148.06,145.62
65,May-05,146.43,145.39,142.42,150.45,144.40,142.65
66,Jun-05,146.84,145.08,142.88,150.90,146.18,144.25
67,Jul-05,148.79,146.39,143.41,151.38,150.00,147.64
68,Aug-05,150.23,147.45,143.44,151.72,152.04,150.64
69,Sep-05,153.26,148.54,144.35,153.06,155.63,157.07
70,Oct-05,167.11,155.86,159.61,183.72,157.44,156.13
71,Nov-05,167.00,155.85,162.55,186.22,153.49,154.26
72,Dec-05,166.54,155.39,162.70,186.60,156.71,150.06
73,Jan-06,164.17,159.63,163.22,188.31,156.07,146.13
74,Feb-06,165.13,161.10,163.80,189.50,155.37,147.66
75,Mar-06,165.12,161.26,164.23,189.82,155.83,146.88
76,Apr-06,165.88,160.24,165.77,189.79,158.45,148.17
77,May-06,171.19,165.78,166.66,191.71,164.30,156.98
78,Jun-06,173.20,169.04,167.36,193.68,164.32,159.77
79,Jul-06,174.37,172.42,168.48,196.04,164.21,159.32
80,Aug-06,175.80,173.42,169.28,197.56,164.52,161.67
81,Sep-06,176.45,178.04,170.69,198.59,165.07,159.79
82,Oct-06,176.15,183.96,172.68,198.44,166.45,154.74
83,Nov-06,175.17,184.79,174.79,199.50,165.29,150.48
84,Dec-06,177.72,189.66,176.72,201.74,168.43,151.81
85,Jan-07,178.62,195.71,181.56,204.90,165.25,149.87
86,Feb-07,181.04,200.23,182.56,207.16,169.57,150.23
87,Mar-07,184.78,202.17,183.09,209.36,174.26,156.23
88,Apr-07,187.92,200.93,185.39,211.48,179.82,161.29
89,May-07,191.92,205.13,186.24,213.70,184.09,167.15
90,Jun-07,192.92,207.63,186.09,216.26,183.85,166.58
91,Jul-07,195.52,213.38,187.49,217.62,186.44,168.95
92,Aug-07,197.20,216.47,188.05,221.15,185.09,169.94
93,Sep-07,200.26,223.80,189.00,223.87,190.06,170.03
94,Oct-07,204.29,230.32,190.71,226.88,195.52,173.09
95,Nov-07,211.02,231.26,192.11,229.76,209.91,182.47
96,Dec-07,216.60,240.83,195.64,237.24,211.25,186.84
97,Jan-08,222.44,252.70,200.97,244.76,214.45,189.42
98,Feb-08,223.90,256.51,201.97,249.36,213.10,188.15
99,Mar-08,230.95,258.18,204.41,254.11,225.26,197.56
100,Apr-08,235.60,255.77,210.41,258.08,235.06,203.25
101,May-08,244.89,264.50,213.65,263.92,248.63,214.24
102,Jun-08,260.08,277.69,226.45,285.50,260.03,226.33
103,Jul-08,264.92,287.11,229.56,292.00,263.68,227.86
104,Aug-08,260.96,289.71,233.68,290.78,248.26,224.27
105,Sep-08,255.47,291.11,234.37,290.11,236.37,213.59
106,Oct-08,255.71,288.90,240.02,287.19,230.97,221.75
107,Nov-08,254.27,286.35,240.58,282.07,235.03,221.09
108,Dec-08,237.57,290.72,243.75,277.66,208.49,184.78
109,Jan-09,158.01,196.40,204.69,161.26,150.24,132.57
110,Feb-09,161.07,199.20,205.72,162.51,156.22,137.31
111,Mar-09,161.45,200.46,205.51,162.81,156.83,137.22
112,Apr-09,160.78,201.70,206.73,163.34,154.89,133.86
113,May-09,160.85,206.03,206.41,164.12,152.77,131.79
114,Jun-09,163.05,206.61,204.68,164.82,157.67,136.11
115,Jul-09,162.50,208.74,204.88,164.78,157.24,132.89
116,Aug-09,164.96,212.45,205.96,166.04,161.73,135.57
117,Sep-09,164.34,217.33,207.17,166.69,157.09,132.22
118,Oct-09,164.22,217.92,208.50,166.53,157.66,131.16
119,Nov-09,165.42,219.32,208.29,166.99,158.88,133.80
120,Dec-09,165.84,219.92,209.35,167.58,158.04,134.70
121,Jan-10,167.35,222.44,209.83,169.19,159.55,135.49
122,Feb-10,167.41,223.86,210.39,169.85,157.90,134.87
123,Mar-10,167.78,224.43,210.60,170.21,158.39,135.07
124,Apr-10,168.91,224.58,211.07,170.36,161.10,137.54
125,May-10,169.61,225.02,211.57,170.85,161.41,139.21
126,Jun-10,169.95,229.48,212.29,171.23,159.48,138.72
127,Jul-10,170.20,233.43,212.02,171.70,159.45,136.67
128,Aug-10,171.09,236.64,212.63,173.01,159.00,136.44
129,Sep-10,171.89,238.07,213.39,173.64,159.70,137.33
130,Oct-10,172.84,237.87,214.17,174.01,162.67,138.57
131,Nov-10,173.95,239.12,214.40,174.57,164.15,140.44
132,Dec-10,176.06,242.24,215.35,175.45,167.96,143.23
133,Jan-11,178.45,246.59,217.32,176.97,170.63,146.07
134,Feb-11,180.12,247.03,218.04,178.12,173.55,148.61
135,Mar-11,181.10,245.06,218.70,178.61,176.58,150.67
136,Apr-11,182.12,243.07,219.36,178.80,178.44,154.49
137,May-11,182.29,242.87,221.30,179.63,177.23,154.46
138,Jun-11,182.27,245.59,221.57,179.77,175.51,153.87
139,Jul-11,183.53,248.04,221.30,180.60,176.85,155.33
140,Aug-11,184.45,252.64,221.63,181.36,176.41,155.55
141,Sep-11,185.57,253.31,223.12,181.89,179.19,156.83
142,Oct-11,185.88,253.51,223.81,182.13,180.05,156.92
143,Nov-11,186.68,253.23,225.13,182.54,182.04,158.16
144,Dec-11,187.31,254.37,226.66,183.44,181.99,158.40
145,Jan-12,188.69,257.93,228.24,184.64,182.99,159.19
146,Feb-12,190.44,259.60,228.50,185.41,185.94,162.12
147,Mar-12,192.27,258.39,230.56,186.00,190.37,166.18
148,Apr-12,192.71,259.20,231.62,186.91,188.59,167.14
149,May-12,192.07,260.16,231.92,187.02,186.22,165.31
150,Jun-12,190.71,262.54,232.52,187.07,182.27,160.87
151,Jul-12,191.44,265.25,232.10,187.56,183.60,160.54
152,Aug-12,194.65,268.34,231.69,188.52,193.57,163.42
153,Sep-12,195.19,267.41,230.99,189.02,194.42,164.71
154,Oct-12,195.03,268.03,231.33,188.92,194.47,163.81
155,Nov-12,194.40,266.10,232.26,189.27,193.32,162.23
156,Dec-12,194.66,266.09,232.70,189.43,194.28,162.31
157,Jan-13,197.08,276.72,234.69,190.34,195.60,163.97
158,Feb-13,198.88,279.50,235.59,191.05,198.09,166.92
159,Mar-13,198.79,281.45,235.95,191.38,196.37,166.02
160,Apr-13,197.48,281.38,236.38,191.48,192.72,162.85
161,May-13,197.37,281.83,236.12,191.89,191.60,162.16
162,Jun-13,198.70,283.59,236.56,193.01,193.63,163.19
163,Jul-13,202.47,294.42,242.60,195.28,197.59,165.65
164,Aug-13,206.65,298.72,242.98,196.33,205.07,173.78
165,Sep-13,210.09,296.49,243.52,199.17,209.91,180.79
166,Oct-13,212.01,300.28,246.10,200.96,211.91,181.79
167,Nov-13,126.87,148.20,108.65,116.60,131.34,143.20
168,Dec-13,128.76,151.48,108.87,117.94,134.43,145.16
169,Jan-14,130.44,160.16,109.32,119.85,135.58,144.41
170,Feb-14,130.43,161.47,109.72,120.51,135.57,142.29
171,Mar-14,130.52,160.77,112.86,121.37,135.15,140.71
172,Apr-14,130.96,162.03,120.30,121.51,134.65,141.12
173,May-14,131.70,161.69,119.05,122.07,138.96,141.48
174,Jun-14,132.81,166.03,119.09,122.65,140.39,141.20
175,Jul-14,133.48,170.83,119.26,123.47,140.06,140.97
176,Aug-14,133.19,173.05,119.47,123.80,139.31,138.58
177,Sep-14,133.48,179.23,119.16,124.07,139.10,137.32
178,Oct-14,133.44,187.34,118.57,124.03,139.30,134.29
179,Nov-14,133.67,201.23,119.08,124.42,136.28,131.89
180,Dec-14,135.16,216.79,120.78,126.25,134.09,130.53
181,Jan-15,133.90,212.08,121.32,126.95,132.15,126.07
182,Feb-15,133.69,203.50,121.50,126.80,132.14,128.53
183,Mar-15,134.69,204.45,120.26,128.13,133.00,129.24
184,Apr-15,135.34,207.38,120.59,127.88,133.56,131.35
185,May-15,137.74,222.62,119.77,128.53,134.75,134.89
186,Jun-15,138.54,233.63,119.43,129.50,134.97,132.28
187,Jul-15,139.01,240.51,118.82,129.66,135.00,131.78
188,Aug-15,140.88,257.10,119.36,130.14,135.10,133.38
189,Sep-15,140.52,263.79,119.97,129.18,135.40,131.19
190,Oct-15,140.05,262.41,119.13,129.46,135.29,129.05
191,Nov-15,141.39,277.04,119.17,129.89,135.39,129.09
192,Dec-15,143.34,303.63,119.17,130.55,133.52,128.73
193,Jan-16,142.70,311.56,119.30,131.31,128.36,125.29
194,Feb-16,141.71,316.03,118.50,130.85,125.17,122.93
195,Mar-16,144.78,351.30,118.89,131.74,125.01,122.76
196,Apr-16,146.07,348.58,117.93,132.01,127.23,127.54
197,May-16,148.17,349.45,118.07,132.70,127.65,135.17
198,Jun-16,149.79,358.46,116.44,134.28,128.62,135.33
199,Jul-16,151.11,367.23,118.14,135.05,128.23,136.65
200,Aug-16,151.64,377.35,117.75,135.18,128.13,135.36
201,Sep-16,152.64,377.93,118.19,135.54,128.73,138.45
202,Oct-16,153.01,378.33,118.47,135.51,129.34,139.62
203,Nov-16,153.51,380.68,119.16,135.98,130.11,139.29
204,Dec-16,154.81,383.96,120.32,136.93,130.66,141.33
205,Jan-17,155.95,387.21,120.17,138.29,131.09,141.99
206,Feb-17,156.17,387.49,118.27,138.60,131.88,141.88
207,Mar-17,156.83,382.57,120.46,138.35,133.36,145.76
208,Apr-17,155.42,368.43,121.19,137.83,133.41,145.22
209,May-17,154.99,363.12,121.48,138.11,133.76,144.04
210,Jun-17,154.84,363.23,121.55,138.23,133.90,142.91
211,Jul-17,154.49,365.86,121.68,138.00,133.89,140.85
212,Aug-17,154.84,365.04,120.69,138.17,134.34,142.17
213,Sep-17,155.83,362.75,120.69,138.79,136.65,144.29
214,Oct-17,156.86,362.11,121.77,139.21,138.26,146.90
215,Nov-17,157.85,361.90,122.49,139.82,139.01,149.49
216,Dec-17,159.04,366.44,122.48,140.43,140.45,150.83
217,Jan-18,160.94,370.40,123.67,141.57,142.35,153.92
218,Feb-18,161.52,370.66,124.46,142.11,143.18,154.46
219,Mar-18,162.35,372.29,125.60,142.31,143.78,156.64
220,Apr-18,163.03,372.08,128.22,142.39,143.98,159.12
221,May-18,164.16,371.19,126.75,142.97,145.11,162.77
222,Jun-18,165.05,371.22,127.00,143.23,147.32,164.43
223,Jul-18,166.01,373.42,126.30,143.74,148.64,166.04
224,Aug-18,166.28,371.45,127.60,143.79,149.30,167.11
225,Sep-18,167.20,366.47,128.82,144.14,150.36,171.36
226,Oct-18,167.95,366.92,127.23,144.66,151.51,172.82
227,Nov-18,166.26,365.69,129.76,144.94,153.10,162.86
228,Dec-18,164.48,367.63,129.31,145.26,149.59,155.93
229,Jan-19,164.47,369.31,130.39,145.46,148.45,155.59
230,Feb-19,164.85,360.95,130.16,145.64,149.56,159.05
231,Mar-19,165.62,360.01,132.70,145.79,151.55,160.57
232,Apr-19,166.82,364.46,132.74,145.94,152.20,163.77
233,May-19,167.90,372.77,132.30,146.55,152.92,163.96
234,Jun-19,166.69,375.93,132.27,146.67,150.36,158.92
235,Jul-19,166.54,377.71,131.53,146.51,149.34,158.96
236,Aug-19,166.02,379.19,131.71,146.42,148.19,157.07
237,Sep-19,165.90,372.05,132.08,146.33,147.91,159.46
238,Oct-19,166.00,370.31,132.16,146.74,149.45,158.26
239,Nov-19,166.59,368.95,132.29,147.29,149.80,159.92
